feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
PRC3	INTERROG_PART	PRC_QUES	>a	part_interrog	-	-	-	-	-	-	-	-	-	-	-
PRC2	CONJ	PRC_CONJ	fa	conj	-	-	-	-	-	-	-	-	-	-	-
PRC2	CONNEC_PART	PRC_CONJ	fa	part_conn	-	-	-	-	-	-	-	-	-	-	-
PRC2	RC_PART	PRC_CONJ	fa	part_rc	-	-	-	-	-	-	-	-	-	-	-
PRC2	SUB_CONJ	PRC_CONJ	fa	conj_sub	-	-	-	-	-	-	-	-	-	-	-
PRC2	CONJ	PRC_CONJ	wa	conj	-	-	-	-	-	-	-	-	-	-	-
PRC2	PART	PRC_CONJ	wa	part	-	-	-	-	-	-	-	-	-	-	-
PRC2	SUB_CONJ	PRC_CONJ	wa	conj_sub	-	-	-	-	-	-	-	-	-	-	-
PRC1	RC_PART	PRC_VPAR	la	part_rc	-	-	-	-	-	-	-	-	-	-	-
PRC1	FUT_PART	PRC_VPAR	sa	part_fut	-	-	-	-	-	-	-	-	-	-	-
PRC1	JUS_PART	PRC_VPAR	li	part_jus	-	-	-	-	-	-	-	-	-	-	-
PRC1	EMPHATIC_PART	PRC_VPAR	la	part_emph	-	-	-	-	-	-	-	-	-	-	-
PRC1	SUB_CONJ	PRC_VPAR	li	part_sub	-	-	-	-	-	-	-	-	-	-	-
PRC1	PREP	PRC_PREP	bi	prep	-	-	-	-	-	-	-	-	-	-	-
PRC1	PREP	PRC_PREP	ka	prep	-	-	-	-	-	-	-	-	-	-	-
PRC1	PREP	PRC_PREP	li	prep	-	-	-	-	-	-	-	-	-	-	-
PRC1	PREP	PRC_PREP	wa	prep	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART	PRC_VPAR	bi	part	-	-	-	-	-	-	-	-	-	-	-
PRC0	DET	PRC_DET	Al	part_det	-	-	-	-	-	-	-	-	-	-	-
VPREF	IV1S	BASE	-	verb	1	i	-	-	-	-	-	-	-	s	-
VPREF	IV1P	BASE	-	verb	1	i	-	-	-	-	-	-	-	p	-
VPREF	IV2MS	BASE	-	verb	2	i	-	-	-	-	-	m	-	s	-
VPREF	IV2MP	BASE	-	verb	2	i	-	-	-	-	-	m	-	p	-
VPREF	IV2FS	BASE	-	verb	2	i	-	-	-	-	-	f	-	s	-
VPREF	IV2FP	BASE	-	verb	2	i	-	-	-	-	-	f	-	p	-
VPREF	IV2D	BASE	-	verb	2	i	-	-	-	-	-	-	-	d	-
VPREF	IV3MS	BASE	-	verb	3	i	-	-	-	-	-	m	-	s	-
VPREF	IV3MD	BASE	-	verb	3	i	-	-	-	-	-	m	-	d	-
VPREF	IV3MP	BASE	-	verb	3	i	-	-	-	-	-	m	-	p	-
VPREF	IV3FS	BASE	-	verb	3	i	-	-	-	-	-	f	-	s	-
