feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
PRC2	CONJ	PRC_CONJ	-	conj	-	-	-	-	-	-	-	-	-	-	-
PRC2	CONJ_SUB	PRC_CONJ	-	conj_sub	-	-	-	-	-	-	-	-	-	-	-
PRC2	PART	PRC_CONJ	-	part	-	-	-	-	-	-	-	-	-	-	-
PRC2	PART_CONNECT	PRC_CONJ	-	part_conn	-	-	-	-	-	-	-	-	-	-	-
PRC2	PART_RC	PRC_CONJ	-	part_rc	-	-	-	-	-	-	-	-	-	-	-
PRC1	PREP	PRC_PREP	-	prep	-	-	-	-	-	-	-	-	-	-	-
PRC1	PRON_DEM	PRC_PREP	-	part	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART_FUT	PRC_VPAR	-	part_fut	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART_EMPHATIC	PRC_VPAR	-	part_emph	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART_VOC	PRC_VPAR	-	part_voc	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART_PROG	PRC_VPAR	-	part_prog	-	-	-	-	-	-	-	-	-	-	-
PRC1	PART_JUS	PRC_VPAR	-	part_jus	-	-	-	-	-	-	-	-	-	-	-
PRC1	PRON_INTERROG	PRC_VPAR	-	part_interrog	-	-	-	-	-	-	-	-	-	-	-
PRC0	PART_DET	PRC_DET	-	part_det	-	-	-	-	-	-	-	-	-	-	-
PRC0	PART_NEG	PRC_DET	-	part_neg	-	-	-	-	-	-	-	-	-	-	-
PRC0	PART	PRC_DET	-	part	-	-	-	-	-	-	-	-	-	-	-
POS	NOUN	BASE	-	noun	-	-	-	-	-	-	-	-	-	-	-
POS	NOUN_NUM	BASE	-	noun_num	-	-	-	-	-	-	-	-	-	-	-
POS	NOUN_PROP	BASE	-	noun_prop	-	-	-	-	-	-	-	-	-	-	-
POS	NOUN_QUANT	BASE	-	noun_quant	-	-	-	-	-	-	-	-	-	-	-
POS	ADJ	BASE	-	adj	-	-	-	-	-	-	-	-	-	-	-
POS	ADJ_NUM	BASE	-	adj_num	-	-	-	-	-	-	-	-	-	-	-
POS	ADJ_COMP	BASE	-	adj_comp	-	-	-	-	-	-	-	-	-	-	-
POS	ADV	BASE	-	adv	-	-	-	-	-	-	-	-	-	-	-
POS	ADV_INTERROG	BASE	-	adv_interrog	-	-	-	-	-	-	-	-	-	-	-
