feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
POS	abbrev	BASE	-	abbrev	-	-	-	-	-	-	-	-	-	-	-
POS	adj	BASE	-	adj	-	-	-	-	-	-	-	-	-	-	-
POS	adj_comp	BASE	-	adj_comp	-	-	-	-	-	-	-	-	-	-	-
POS	adj_num	BASE	-	adj_num	-	-	-	-	-	-	-	-	-	-	-
POS	adv	BASE	-	adv	-	-	-	-	-	-	-	-	-	-	-
POS	adv_interrog	BASE	-	adv_interrog	-	-	-	-	-	-	-	-	-	-	-
POS	adv_rel	BASE	-	adv_rel	-	-	-	-	-	-	-	-	-	-	-
POS	conj	BASE	-	conj	-	-	-	-	-	-	-	-	-	-	-
POS	conj_sub	BASE	-	conj_sub	-	-	-	-	-	-	-	-	-	-	-
POS	digit	BASE	-	digit	-	-	-	-	-	-	-	-	-	-	-
POS	interj	BASE	-	interj	-	-	-	-	-	-	-	-	-	-	-
POS	foreign	BASE	-	foreign	-	-	-	-	-	-	-	-	-	-	-
POS	latin	BASE	-	latin	-	-	-	-	-	-	-	-	-	-	-
POS	noun	BASE	-	noun	-	-	-	-	-	-	-	-	-	-	-
POS	noun_num	BASE	-	noun_num	-	-	-	-	-	-	-	-	-	-	-
POS	noun_prop	BASE	-	noun_prop	-	-	-	-	-	-	-	-	-	-	-
POS	noun_quant	BASE	-	noun_quant	-	-	-	-	-	-	-	-	-	-	-
POS	part	BASE	-	part	-	-	-	-	-	-	-	-	-	-	-
POS	part_det	BASE	-	part_det	-	-	-	-	-	-	-	-	-	-	-
POS	part_focus	BASE	-	part_focus	-	-	-	-	-	-	-	-	-	-	-
POS	part_fut	BASE	-	part_fut	-	-	-	-	-	-	-	-	-	-	-
POS	part_interrog	BASE	-	part_interrog	-	-	-	-	-	-	-	-	-	-	-
POS	part_neg	BASE	-	part_neg	-	-	-	-	-	-	-	-	-	-	-
POS	part_restrict	BASE	-	part_restrict	-	-	-	-	-	-	-	-	-	-	-
POS	part_verb	BASE	-	part_verb	-	-	-	-	-	-	-	-	-	-	-
POS	part_voc	BASE	-	part_voc	-	-	-	-	-	-	-	-	-	-	-
POS	prep	BASE	-	prep	-	-	-	-	-	-	-	-	-	-	-
POS	pron	BASE	-	pron	-	-	-	-	-	-	-	-	-	-	-
POS	pron_dem	BASE	-	pron_dem	-	-	-	-	-	-	-	-	-	-	-
POS	pron_exclam	BASE	-	pron_exclam	-	-	-	-	-	-	-	-	-	-	-
