proclitic   *_ques	part_interrog
proclitic	*_conj	conj
proclitic	*_conn	part_conn
proclitic	*_rc	part_rc
proclitic	*_sub	conj_sub
proclitic	*_part	part
proclitic	*_fut	part_fut
proclitic	*_prep	prep
proclitic	*_dem	pron_dem
proclitic	*_emph	part_emph
proclitic	*_jus	part_jus
proclitic	*_voc	part_voc
proclitic	*_det	part_det
proclitic	*_neg	part_neg
proclitic	*_rel	pron_rel
enclitic	*_dobj	pron
enclitic	*_poss	pron
enclitic	*_pron	pron
enclitic	*_voc	part_voc
enclitic	*_neg	part_neg
enclitic	*_interrog	part_interrog
enclitic	*_sub	conj_sub
enclitic	*_rel	pron_rel
