pos,prc3,prc2,prc1,prc0,per,asp,vox,mod,form_gen,gen,form_num,num,stt,cas,enc0,rat
abbrev,na,fa_conj|na|wa_conj,na,na,na,na,na,na,na,na,na,na,na,na,na,na
adj,0,0,0,0,na,na,na,na,f,f,d,d,c,n,0,n
adj,0,0,0,0,na,na,na,na,f,f,d,d,i,a|g|n,0,n
adj,0,0,0,0,na,na,na,na,f,f,p,p,c,a,3ms_poss,n
adj,0,0,0,0,na,na,na,na,f,f,p,p,c,g,0|3fs_poss|3ms_poss,n
adj,0,0|wa_conj,0,0,na,na,na,na,f,f,p,p,c,n,0,n
adj,0,0,0,0,na,na,na,na,f,f,p,p,i,a|g,0,n
adj,0,0,0,0,na,na,na,na,f,f,s,s,c,a|g,0|3fs_poss|3ms_poss,n
adj,0,0,0,0,na,na,na,na,f,f,s,s,c,n,0|3d_poss|3fs_poss,n
adj,0,0,0,0,na,na,na,na,f|m,f,s,s,i,a|g|n|u,0,n
adj,0,0,0,0,na,na,na,na,f,m,s,p,i,a|n,0,n
adj,0,0,0,0,na,na,na,na,m,f,s,p,i,u,0,n
adj,0,0,0,0,na,na,na,na,m,f,s,s,c,a|n,0,n
adj,0,0,0,0,na,na,na,na,m,f,s,s,c,u,3ms_poss,n
adj,0,0,0,0,na,na,na,na,m,m,d,d,c,a,0|3fs_poss,n
adj,0,0,0,0,na,na,na,na,m,m,d,d,c,g,0,n
adj,0,0,0,0,na,na,na,na,m,m,d,d,c,n,0|1s_poss,n
adj,0,0,0,0,na,na,na,na,m,m,d,d,i,a|g|n,0,n
adj,0,0,0,0,na,na,na,na,m,m,p|s,p,c,a|n,0,n
adj,0,0,0,0,na,na,na,na,m,m,p,p,c,g,0|3ms_poss,n
adj,0,0|wa_conj,0,0,na,na,na,na,m,m,p,p,i,a|g|n,0,n
adj,0,0,0,0,na,na,na,na,m,m,s,p,c,g,0|1p_poss|3mp_poss,n
adj,0,0|wa_conj,0,0,na,na,na,na,m,m,s,p|s,i,a|g|n|u,0,n
adj,0,0,0,0,na,na,na,na,m,m,s,s,c,a,0|3fs_poss|3ms_poss,n
adj,0,0,0,0,na,na,na,na,m,m,s,s,c,g,0|1p_poss|3fs_poss|3mp_poss|3ms_poss,n
adj,0,0,0,0,na,na,na,na,m,m,s,s,c,n,0|1p_poss|3fs_poss,n
adj,0,0,0,0,na,na,na,na,m,m,s,s,c,u,1s_poss|3fs_poss|3ms_poss,n
adj,0,0,0,Al_det,na,na,na,na,f,f,d,d,d,a|g|n,0,n
adj,0,0,0,Al_det,na,na,na,na,f,f,p,p,d,a|g|n|u,0,n
adj,0,0,0,Al_det,na,na,na,na,f|m,f,s,s,d,a|g|n|u,0,n
adj,0,0,0,Al_det,na,na,na,na,f,m,s,p,d,a|g,0,n
adj,0,0,0,Al_det,na,na,na,na,f,m,s,s,d,g,0,n
adj,0,0,0,Al_det,na,na,na,na,m,f,d,d,d,a|n,0,n
adj,0,0,0,Al_det,na,na,na,na,m,f,s,p,d,g,0,n
adj,0,0|wa_conj,0,Al_det,na,na,na,na,m,m,d,d,d,a|g|n,0,n
adj,0,0|wa_conj,0,Al_det,na,na,na,na,m,m,p,p,d,a|g|n,0,n
adj,0,0,0,Al_det,na,na,na,na,m,m,s,p|s,d,a|g|n|u,0,n
adj,0,0,bi_prep,0,na,na,na,na,f,f,s,s,c,g,3fs_poss|3ms_poss,n
adj,0,0,bi_prep,0,na,na,na,na,f|m,f,s,s,i,g,0,n
adj,0,0,bi_prep,0,na,na,na,na,m,m,p|s,p,c,g,0,n
adj,0,0,bi_prep,0,na,na,na,na,m,m,s,s,c,g,0|3d_poss|3fs_poss|3ms_poss,n
adj,0,0,bi_prep|li_prep,0,na,na,na,na,m,m,s,s,i,g|u,0,n
adj,0,0,bi_prep|li_prep,Al_det,na,na,na,na,f,f,s,s,d,g,0,n
adj,0,0,bi_prep|ka_prep,Al_det,na,na,na,na,m,m,p,p,d,g,0,n
adj,0,0,bi_prep|ka_prep|li_prep,Al_det,na,na,na,na,m,m,s,s,d,g|u,0,n
adj,0,0,ka_prep|li_prep,0,na,na,na,na,m,m,p,p,i,g,0,n
adj,0,0,ka_prep,0,na,na,na,na,m,m,s,s,c|i,g,0,n
adj,0,0,la_emph,0,na,na,na,na,f,f,s,s,i,n,0,n
adj,0,0,li_prep,0,na,na,na,na,f,f,p,p,c,g,1p_poss,n
adj,0,0,li_prep,0,na,na,na,na,f,f,s,s,c|i,g,0,n
adj,0,0,li_prep,0,na,na,na,na,m,m,p,p,c,g,0|3fs_poss,n
adj,0,0,li_prep,0,na,na,na,na,m,m,s,p,c|i,g,0,n
adj,0,0,li_prep,0,na,na,na,na,m,m,s,s,c,g,0,n
adj,0,0,li_prep,Al_det,na,na,na,na,f,f,p,p,d,g,0,n
adj|adj_num,0,0,li_prep,Al_det,na,na,na,na,m,m,p|s,p,d,g,0,n
adj,0,fa_conj,0,0,na,na,na,na,m,m,p,p,i,n,0,n
adj,0,fa_conj,0,0,na,na,na,na,m,m,s,s,i,a|n,0,n
adj,0,fa_conj,0,Al_det,na,na,na,na,f,f,p,p,d,n,0,n
adj,0,fa_conj,0,Al_det,na,na,na,na,m,m,s,p|s,d,n,0,n
adj,0,fa_conn,0,0,na,na,na,na,f,f,s,s,i,n,0,n
adj,0,fa_conn,0,0,na,na,na,na,m,m,s,s,i,n,0,n
adj,0,fa_conn,0,Al_det,na,na,na,na,m,m,d,d,d,n,0,n
adj,0,fa_rc,0,0,na,na,na,na,m,m,s,s,i,a,0,n
adj,0,fa_rc,0,Al_det,na,na,na,na,m,m,s,s,d,n,0,n
adj,0,wa_conj,0,0,na,na,na,na,f,f,d,d,i,g|n,0,n
adj,0,wa_conj,0,0,na,na,na,na,f,f,p,p,c,u,1s_poss,n
adj,0,wa_conj,0,0,na,na,na,na,f,f,p,p,i,g|n,0,n
adj,0,wa_conj,0,0,na,na,na,na,f|m,f,s,s,c,a,0,n
adj,0,wa_conj,0,0,na,na,na,na,f,f,s,s,c,g|n,0|3fs_poss,n
adj,0,wa_conj,0,0,na,na,na,na,f,f,s,s,i,a|g|n|u,0,n
adj,0,wa_conj,0,0,na,na,na,na,f,m,s,p,i,a|g,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,f,s,p,i,a,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,f,s,s,i,a|g|u,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,d,d,c,n,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,d,d,i,a|n,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,p,p,c,g,0|3fs_poss,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,p,p,c,n,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,s,p|s,c,a|n,0,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,g,0|3fs_poss,n
adj,0,wa_conj,0,0,na,na,na,na,m,m,s,s,c,u,1s_poss,n
adj,0,wa_conj,0,Al_det,na,na,na,na,f,f,p,p,d,a|g|n,0,n
adj,0,wa_conj,0,Al_det,na,na,na,na,f,f,s,s,d,a|g|n|u,0,n
adj,0,wa_conj,0,Al_det,na,na,na,na,f,m,s,p,d,g,0,n
adj,0,wa_conj,0,Al_det,na,na,na,na,m,m,s,p,d,a|g,0,n
adj,0,wa_conj,0,Al_det,na,na,na,na,m,m,s,s,d,a|g|n|u,0,n
adj,0,wa_conj,bi_prep|ka_prep,0,na,na,na,na,f,f,s,s,i,g,0,n
adj,0,wa_conj,bi_prep,0,na,na,na,na,m,m,s,p,c,g,0,n
adj,0,wa_conj,bi_prep|li_prep,0,na,na,na,na,m,m,s,s,i,u,0,n
