pos,per,asp,vox,mod,stt,cas,ex,cnt
abbrev|conj|conj_sub|digit|foreign|interj|part|part_det|part_focus|part_fut|part_interrog|part_neg|part_restrict|part_verb|part_voc|prep|punc|verb_pseudo,na,na,na,na,na,na,lkn|لكن,129216
adj|adj_comp|adj_num|noun|noun_prop,na,na,na,na,c|d|i,a|g|n|u,byrwt|بيروت,2384
adv|adv_interrog|adv_rel,na,na,na,na,i,u,kyf|كيف,230
noun_num|pron_interrog,na,na,na,na,c,a|g|n,>y|أي,82
noun_num,na,na,na,na,d|i,a|g|n|u,AlvmAny|الثماني,24
noun_quant|pron_rel,na,na,na,na,c|i,a|g|n|u,>y|أي,269
noun_quant,na,na,na,na,d,a|g|n,AlgAlbyp|الغالبية,31
pron,1|2|3,na,na,na,i,n,hn|هن,104
pron_dem,na,na,na,na,i,a|n|u,h*h|هذه,1551
pron_interrog,na,na,na,na,i,a|g|n|u,mA*A|ماذا,66
verb,1|2|3,i,a|p,i|j|s,na,na,tEln|تعلن,2548
verb,1|2|3,p,a|p,i,na,na,kAntA|كانتا,344
verb,2,c,a,i,na,na,AqdHy|اقدحي,2
verb,2|3,i,a|p,u,na,na,ySAbwA|يصابوا,19
verb,3,na,na,na,na,na,EdA|عدا,46
verb,3,p,a,u,na,na,ql~mA|قلّما,1
verb,3,p,u,i,na,na,mAzAlt|مازالت,1
